wavelength,red,green,blue
400.0,0.008316,0.016632,0.074844
410.0,0.008316,0.029106,0.16216
420.0,0.008316,0.04158,0.2578
430.0,0.008316,0.054054,0.3659
440.0,0.008316,0.070686,0.51143
450.0,0.008316,0.11227,0.68607
460.0,0.008316,0.20374,0.72349
470.0,0.008316,0.29106,0.73181
480.0,0.008316,0.37838,0.69854
490.0,0.008316,0.45322,0.59044
500.0,0.008316,0.58628,0.49896
510.0,0.012474,0.76923,0.36175
520.0,0.024948,0.88981,0.22453
530.0,0.016632,0.9896,0.13306
540.0,0.012474,0.97297,0.045738
550.0,0.02079,0.90229,0.012474
560.0,0.045738,0.79834,0.004158
570.0,0.27027,0.59459,0.004158
580.0,0.44075,0.4158,0.0
590.0,0.53222,0.28274,0.0
600.0,0.53638,0.17048,0.0
610.0,0.50312,0.08316,0.0
620.0,0.41164,0.045738,0.0
630.0,0.33264,0.024948,0.0
640.0,0.27443,0.012474,0.0
650.0,0.19127,0.012474,0.0
660.0,0.14137,0.008316,0.0
670.0,0.08316,0.008316,0.0
680.0,0.029106,0.0,0.0
690.0,0.004158,0.0,0.0
700.0,0.004158,0.0,0.0
