wavelength,red,green,blue
400.0,0.001901,0.014364,0.075829
410.0,0.0024225,0.0234445,0.155795
420.0,0.003141,0.036199,0.24816
430.0,0.004216,0.0540615,0.35318
440.0,0.005587,0.077021,0.47038
450.0,0.006308,0.1054695,0.586445
460.0,0.007095,0.15938,0.67047
470.0,0.008472,0.271455,0.726255
480.0,0.007476,0.36655,0.736
490.0,0.0051105,0.43136,0.68881
500.0,0.004655,0.5768,0.59575
510.0,0.006505,0.78901,0.467495
520.0,0.0095,0.95433,0.31715
530.0,0.0091825,0.99805,0.185685
540.0,0.007458,0.95491,0.092821
550.0,0.009605,0.86402,0.0391005
560.0,0.07159,0.72705,0.013395
570.0,0.2684,0.560505,0.005917
580.0,0.46705,0.42199,0.003848
590.0,0.519675,0.272445,0.002729
600.0,0.53474,0.15659,0.001914
610.0,0.485225,0.0787825,0.0014455
620.0,0.39889,0.038794,0.00115
630.0,0.30941,0.0235475,0.0009955
640.0,0.2488,0.01616,0.000954
650.0,0.185245,0.010678,0.000927
660.0,0.13338,0.008174,0.000861
670.0,0.072891,0.005742,0.0006225
680.0,0.02342,0.002735,0.000314
690.0,0.0044095,0.001003,0.000133
700.0,0.001086,0.00056,0.000108
