wavelength,red,green,blue
400.0,0.001763,0.0028827,0.010703
410.0,0.023956,0.015706,0.18271
420.0,0.030391,0.035513,0.40248
430.0,0.022022,0.048013,0.58352
440.0,0.0048022,0.081481,0.67715
450.0,0.0016191,0.074967,0.56461
460.0,0.0016364,0.13163,0.84597
470.0,0.0022818,0.19258,0.80052
480.0,0.0041777,0.35161,0.81513
490.0,0.0068922,0.49575,0.71869
500.0,0.014992,0.63384,0.40474
510.0,0.040687,0.91942,0.31404
520.0,0.07102,0.96971,0.17119
530.0,0.12072,1.0,0.078379
540.0,0.092649,0.74132,0.03356
550.0,0.10464,0.89503,0.024318
560.0,0.17383,0.78434,0.011234
570.0,0.33082,0.64657,0.0072724
580.0,0.45014,0.51188,0.0050901
590.0,0.58925,0.28992,0.0028686
600.0,0.62932,0.19137,0.0019764
610.0,0.56287,0.091804,0.0010768
620.0,0.48741,0.045356,0.00085593
630.0,0.41953,0.030454,0.00082579
640.0,0.34331,0.021667,0.00085003
650.0,0.25132,0.01422,0.0012314
660.0,0.1973,0.012144,0.0014206
670.0,0.12765,0.011565,0.0012064
680.0,0.061028,0.0071624,0.00052426
690.0,0.014121,0.0018791,0.00015077
700.0,0.0010152,0.00022132,3.29e-05
