wavelength,red,green,blue
400.0,0.0,0.0,0.0047597
410.0,0.0,0.0046108,0.052343
420.0,0.0,0.028315,0.18583
430.0,0.0,0.032925,0.40524
440.0,0.0,0.042323,0.52442
450.0,0.0039743,0.066027,0.60063
460.0,0.0038118,0.1136,0.83913
470.0,0.0084226,0.16117,0.98217
480.0,0.0082737,0.22784,0.98202
490.0,0.012884,0.35656,0.81957
500.0,0.022268,0.60938,0.66189
510.0,0.041199,0.80015,0.49466
520.0,0.074463,0.90979,0.32745
530.0,0.10294,0.93349,0.15545
540.0,0.13619,0.92378,0.078911
550.0,0.13603,0.88066,0.040563
560.0,0.15497,0.80891,0.016547
570.0,0.28846,0.6751,0.011612
580.0,0.484,0.56992,0.0019025
590.0,0.58885,0.41701,0.00174
600.0,0.62212,0.22593,0.0015911
610.0,0.60763,0.12076,0.0062019
620.0,0.54542,0.068092,0.010813
630.0,0.46411,0.05361,0.015423
640.0,0.421,0.053461,0.015274
650.0,0.3206,0.048525,0.019885
660.0,0.22975,0.048362,0.019723
670.0,0.12457,0.038653,0.014787
680.0,0.052824,0.033731,0.0098648
690.0,0.043115,0.028795,0.004929
700.0,0.033487,0.023941,0.0048477
