wavelength,red,green,blue
400.0,0.0061948,0.0052294,0.0063119
410.0,0.0061948,0.0052294,0.0092456
420.0,0.0041904,0.026143,0.15786
430.0,0.0081156,0.061,0.50903
440.0,0.0080483,0.098852,0.65066
450.0,0.0079823,0.12273,0.75337
460.0,0.0089128,0.18254,0.79721
470.0,0.010842,0.32217,0.79015
480.0,0.010776,0.47278,0.73521
490.0,0.012705,0.50863,0.58646
500.0,0.012639,0.63529,0.43672
510.0,0.01357,0.80885,0.275
520.0,0.01949,0.92353,0.14123
530.0,0.019424,0.9983,0.078297
540.0,0.019358,0.93936,0.049293
550.0,0.017295,0.88841,0.032262
560.0,0.056144,0.77159,0.02122
570.0,0.26363,0.62584,0.015166
580.0,0.52998,0.50105,0.013104
590.0,0.63469,0.32137,0.0080491
600.0,0.60868,0.16764,0.0039905
610.0,0.53976,0.09373,0.0029266
620.0,0.47184,0.059737,0.0028593
630.0,0.368,0.042706,0.0027933
640.0,0.29908,0.031664,0.0037251
650.0,0.25511,0.029602,0.0036578
660.0,0.19917,0.02754,0.0025939
670.0,0.14721,0.026476,0.0025278
680.0,0.076301,0.018426,0.0024942
690.0,0.026342,0.0073836,0.0024942
700.0,0.0093119,0.0053206,0.0024942
