wavelength,red,green,blue
400.0,0.0,0.0,0.01
410.0,0.0,0.01,0.09
420.0,0.0,0.03,0.42
430.0,0.0,0.05,0.65
440.0,0.0,0.08,0.87
450.0,0.0,0.09,0.96
460.0,0.0,0.13,1.01
470.0,0.01,0.29,0.97
480.0,0.01,0.54,0.9
490.0,0.01,0.7,0.81
500.0,0.02,0.94,0.61
510.0,0.04,1.01,0.43
520.0,0.08,1.08,0.25
530.0,0.14,1.06,0.14
540.0,0.15,1.01,0.1
550.0,0.14,1.0,0.07
560.0,0.17,0.87,0.05
570.0,0.3,0.75,0.04
580.0,0.45,0.58,0.03
590.0,0.53,0.42,0.02
600.0,0.56,0.24,0.01
610.0,0.53,0.15,0.01
620.0,0.46,0.08,0.01
630.0,0.38,0.05,0.01
640.0,0.33,0.03,0.01
650.0,0.23,0.02,0.01
660.0,0.19,0.02,0.01
670.0,0.15,0.02,0.01
680.0,0.1,0.01,0.0
690.0,0.03,0.01,0.0
700.0,0.0,0.0,0.0
