wavelength,red,green,blue
400.0,0.0019,0.0036,0.0127
410.0,0.0045,0.0123,0.0971
420.0,0.0103,0.0377,0.3516
430.0,0.0055,0.0422,0.4765
440.0,0.0034,0.0565,0.56
450.0,0.0021,0.0704,0.6476
460.0,0.0023,0.097,0.7745
470.0,0.0039,0.209,0.6759
480.0,0.0073,0.43,0.6858
490.0,0.0118,0.6381,0.5932
500.0,0.0179,0.692,0.3971
510.0,0.0612,1.0,0.3559
520.0,0.0874,0.8735,0.1617
530.0,0.1534,0.9058,0.0883
540.0,0.1686,0.8326,0.0551
550.0,0.1724,0.8057,0.0424
560.0,0.2003,0.712,0.0269
570.0,0.3158,0.6467,0.0205
580.0,0.4514,0.5426,0.0159
590.0,0.5258,0.3935,0.0122
600.0,0.5989,0.2958,0.01
610.0,0.4728,0.1287,0.0054
620.0,0.4084,0.06,0.0036
630.0,0.3562,0.0402,0.0032
640.0,0.292,0.0276,0.0029
650.0,0.226,0.0182,0.0032
660.0,0.1704,0.0138,0.0032
670.0,0.1372,0.0143,0.0034
680.0,0.0428,0.0061,0.0013
690.0,0.0087,0.0017,0.0005
700.0,0.0017,0.0008,0.0004
