wavelength,red,green,blue
400.0,0.0,0.0,0.0
410.0,0.0,0.0,0.0
420.0,0.0,0.0,0.32613
430.0,0.0,0.0,0.43004
440.0,0.0,0.0,0.54222
450.0,0.0,0.0,0.6208
460.0,0.0,0.0,0.65202
470.0,0.0,0.061555,0.64986
480.0,0.0,0.25565,0.62283
490.0,0.0,0.380295,0.543245
500.0,0.0,0.48036,0.42407
510.0,0.053032,0.56646,0.287225
520.0,0.1409,0.64102,0.16614
530.0,0.268395,0.653005,0.084021
540.0,0.34103,0.64231,0.05095
550.0,0.282335,0.59282,0.0306505
560.0,0.32815,0.53528,0.0
570.0,0.5315,0.46551,0.0
580.0,0.75742,0.37391,0.0
590.0,0.923365,0.278795,0.0
600.0,0.99119,0.1755,0.0
610.0,0.88209,0.0881775,0.0
620.0,0.75963,0.039891,0.0
630.0,0.64776,0.022985,0.0
640.0,0.51839,0.0,0.0
650.0,0.423815,0.0,0.0
660.0,0.31122,0.0,0.0
670.0,0.207635,0.0,0.0
680.0,0.077431,0.0,0.0
690.0,0.009255,0.0,0.0
700.0,0.0,0.0,0.0
