wavelength,red,green,blue
400.0,0.03,0.04,0.27
410.0,0.03,0.04,0.39
420.0,0.03,0.05,0.44
430.0,0.03,0.06,0.51
440.0,0.03,0.09,0.62
450.0,0.04,0.12,0.7
460.0,0.05,0.18,0.77
470.0,0.07,0.3,0.84
480.0,0.08,0.4,0.86
490.0,0.08,0.44,0.84
500.0,0.1,0.6,0.74
510.0,0.11,0.75,0.62
520.0,0.12,0.93,0.46
530.0,0.12,1.03,0.3
540.0,0.13,1.02,0.2
550.0,0.14,1.0,0.14
560.0,0.13,0.92,0.09
570.0,0.13,0.82,0.07
580.0,0.19,0.67,0.06
590.0,0.38,0.51,0.06
600.0,0.61,0.3,0.05
610.0,0.62,0.2,0.04
620.0,0.55,0.12,0.04
630.0,0.46,0.08,0.03
640.0,0.38,0.06,0.03
650.0,0.28,0.04,0.02
660.0,0.22,0.03,0.02
670.0,0.16,0.03,0.02
680.0,0.13,0.03,0.02
690.0,0.09,0.03,0.01
700.0,0.07,0.03,0.01
