wavelength,red,green,blue
400.0,0.0,0.0,0.21575
410.0,0.0,0.0,0.32031
420.0,0.0,0.0,0.41266
430.0,0.0,0.0,0.52099
440.0,0.0,0.0,0.6216
450.0,0.0,0.065,0.709545
460.0,0.0,0.12544,0.7616
470.0,0.0,0.193185,0.774955
480.0,0.0,0.27,0.747
490.0,0.0,0.3555,0.67725
500.0,0.0,0.46852,0.55862
510.0,0.0,0.63755,0.40413
520.0,0.0,0.7582,0.24976
530.0,0.0,0.849645,0.14093
540.0,0.0,0.863,0.081985
550.0,0.0,0.80539,0.033445
560.0,0.03,0.696,0.016
570.0,0.127165,0.559385,0.0112575
580.0,0.29756,0.40136,0.00692
590.0,0.464,0.24704,0.0
600.0,0.4941,0.13176,0.0
610.0,0.440655,0.05666,0.0
620.0,0.35972,0.02346,0.0
630.0,0.281945,0.01198,0.0
640.0,0.21586,0.0,0.0
650.0,0.162875,0.0,0.0
660.0,0.12054,0.0,0.0
670.0,0.08835,0.0,0.0
680.0,0.06156,0.0,0.0
690.0,0.044715,0.0,0.0
700.0,0.03096,0.0,0.0
