wavelength,red,green,blue
400.0,0.01,0.01,0.01
410.0,0.01,0.01,0.04
420.0,0.05,0.05,0.45
430.0,0.06,0.08,0.72
440.0,0.04,0.1,0.86
450.0,0.04,0.14,1.04
460.0,0.03,0.18,1.03
470.0,0.03,0.31,1.01
480.0,0.04,0.42,0.95
490.0,0.04,0.47,0.68
500.0,0.03,0.59,0.49
510.0,0.05,0.88,0.29
520.0,0.07,1.05,0.14
530.0,0.08,1.05,0.05
540.0,0.04,1.1,0.02
550.0,0.02,1.0,0.01
560.0,0.03,0.87,0.0
570.0,0.13,0.72,0.0
580.0,0.44,0.53,0.0
590.0,0.9,0.32,0.0
600.0,0.9,0.16,0.0
610.0,0.77,0.08,0.0
620.0,0.68,0.04,0.0
630.0,0.55,0.03,0.0
640.0,0.44,0.02,0.0
650.0,0.31,0.01,0.0
660.0,0.21,0.01,0.0
670.0,0.1,0.01,0.0
680.0,0.02,0.0,0.0
690.0,0.0,0.0,0.0
700.0,0.0,0.0,0.0
