wavelength,red,green,blue
400.0,0.0034571,0.0023428,0.010966
410.0,0.022312,0.012167,0.1081
420.0,0.053258,0.040045,0.37737
430.0,0.056944,0.064061,0.5801
440.0,0.048574,0.085339,0.70107
450.0,0.038908,0.10477,0.78943
460.0,0.037569,0.15962,0.87216
470.0,0.04308,0.26081,0.86767
480.0,0.0507,0.35429,0.84871
490.0,0.044813,0.36946,0.68103
500.0,0.049355,0.52444,0.53329
510.0,0.063254,0.75607,0.37727
520.0,0.10222,0.89915,0.22805
530.0,0.12954,1.0,0.15406
540.0,0.069134,0.90806,0.09479
550.0,0.037013,0.86275,0.05434
560.0,0.043618,0.73119,0.025207
570.0,0.12534,0.59194,0.013388
580.0,0.54782,0.42363,0.0083187
590.0,0.84149,0.27365,0.0029447
600.0,0.78318,0.14948,0.0020306
610.0,0.69242,0.073612,0.0010572
620.0,0.55925,0.038781,0.00088583
630.0,0.46851,0.024961,0.0019322
640.0,0.36322,0.018027,0.003346
650.0,0.27167,0.012848,0.0049289
660.0,0.17401,0.0090382,0.0047382
670.0,0.044063,0.0029268,0.0014405
680.0,0.0086769,0.00088953,0.00035371
690.0,0.010739,0.0016742,0.0005194
700.0,0.0042083,0.0009277,0.00025012
