wavelength,red,green,blue
400.0,0.0024406,0.003237,0.011102
410.0,0.0074732,0.0094721,0.06039
420.0,0.043482,0.070843,0.50664
430.0,0.041559,0.10274,0.70704
440.0,0.02767,0.11268,0.70276
450.0,0.024976,0.15445,0.88834
460.0,0.019662,0.19984,0.85506
470.0,0.025669,0.35789,0.96314
480.0,0.026141,0.40744,0.79375
490.0,0.024432,0.42311,0.62957
500.0,0.028678,0.63972,0.52002
510.0,0.032457,0.7795,0.31329
520.0,0.059491,0.97741,0.19514
530.0,0.070335,0.98932,0.11409
540.0,0.039702,1.0,0.077371
550.0,0.018843,0.95998,0.045768
560.0,0.020206,0.78072,0.020582
570.0,0.07366,0.66026,0.010729
580.0,0.42166,0.46838,0.0069893
590.0,0.65575,0.29221,0.0043945
600.0,0.69133,0.18126,0.0035622
610.0,0.54233,0.084093,0.0021654
620.0,0.49941,0.050509,0.0022762
630.0,0.36845,0.030548,0.0023488
640.0,0.3249,0.024419,0.00355
650.0,0.24676,0.017637,0.004849
660.0,0.12792,0.010018,0.0036772
670.0,0.019473,0.0020529,0.00074569
680.0,0.0039954,0.00066224,0.00020708
690.0,0.0012718,0.00035024,0.0001167
700.0,0.00041569,0.00019089,8.4e-05
