wavelength,red,green,blue
400.0,0.028475,0.023736,0.028475
410.0,0.047633,0.0,0.023937
420.0,0.038397,0.0,0.024179
430.0,0.057595,0.014943,0.24242
440.0,0.081533,0.038881,0.41803
450.0,0.072276,0.05332,0.34716
460.0,0.067779,0.11517,0.55593
470.0,0.058543,0.21493,0.75997
480.0,0.058785,0.32417,0.69858
490.0,0.063746,0.42868,0.58509
500.0,0.063988,0.55214,0.44314
510.0,0.059491,0.7467,0.30594
520.0,0.083428,0.88438,0.18295
530.0,0.1121,0.9794,0.10737
540.0,0.11233,0.9891,0.060197
550.0,0.079395,0.91352,0.036743
560.0,0.070159,0.73365,0.022768
570.0,0.13675,0.62963,0.013511
580.0,0.56825,0.51612,0.0090144
590.0,0.92394,0.3268,0.0045173
600.0,0.95262,0.18958,0.0047593
610.0,0.8391,0.099783,0.0049811
620.0,0.72087,0.057353,0.0052231
630.0,0.61683,0.043378,0.0054651
640.0,0.4749,0.038881,0.0057071
650.0,0.36138,0.034363,0.0059289
660.0,0.2621,0.034605,0.01091
670.0,0.13437,0.034847,0.011152
680.0,0.073002,0.039829,0.011394
690.0,0.021094,0.039829,0.016355
700.0,0.0071187,0.039829,0.021336
