wavelength,red,green,blue
400.0,0.0013917,0.013676,0.10516
410.0,0.0014461,0.026396,0.18854
420.0,0.0016633,0.039088,0.28442
430.0,0.0019077,0.051807,0.38028
440.0,0.0021521,0.068684,0.47201
450.0,0.0,0.098036,0.55955
460.0,0.006772,0.15647,0.60553
470.0,0.015333,0.26483,0.61825
480.0,0.019736,0.33989,0.56028
490.0,0.01998,0.38172,0.46904
500.0,0.020197,0.47758,0.31959
510.0,0.041233,0.70237,0.19093
520.0,0.062269,0.83981,0.091376
530.0,0.079146,0.99391,0.037563
540.0,0.06273,0.97749,0.021148
550.0,0.042183,0.932,0.017234
560.0,0.054903,0.83244,0.01332
570.0,0.13413,0.63309,0.013564
580.0,0.45869,0.39634,0.013782
590.0,0.58368,0.2261,0.0098678
600.0,0.57145,0.11407,0.0059539
610.0,0.49685,0.051939,0.0059539
620.0,0.38482,0.023049,0.0059539
630.0,0.29358,0.019135,0.0059539
640.0,0.23974,0.019379,0.0059539
650.0,0.16514,0.015465,0.0059539
660.0,0.13211,0.015683,0.0059539
670.0,0.099092,0.011769,0.0059539
680.0,0.06607,0.012013,0.0059539
690.0,0.045524,0.012013,0.0059539
700.0,0.041474,0.012013,0.0059539
