wavelength,red,green,blue
400.0,0.008173,0.011088,0.075381
410.0,0.0080625,0.0176945,0.15042
420.0,0.007132,0.027671,0.23263
430.0,0.006725,0.042985,0.335005
440.0,0.00693,0.062355,0.44479
450.0,0.00637,0.088636,0.53653
460.0,0.007375,0.14056,0.60393
470.0,0.0109115,0.236595,0.613345
480.0,0.01434,0.32087,0.56353
490.0,0.012675,0.37125,0.43926
500.0,0.017393,0.49813,0.30589
510.0,0.029186,0.68996,0.18132
520.0,0.061571,0.8825,0.082277
530.0,0.0854095,0.99244,0.03515
540.0,0.050619,0.97495,0.017925
550.0,0.02811,0.905185,0.0094165
560.0,0.032042,0.78666,0.004426
570.0,0.096312,0.594025,0.002489
580.0,0.42915,0.42056,0.002112
590.0,0.581295,0.249265,0.0016945
600.0,0.56124,0.11834,0.00118
610.0,0.471665,0.046219,0.0008445
620.0,0.38532,0.018482,0.000581
630.0,0.293535,0.0099635,0.000488
640.0,0.22419,0.006026,0.000487
650.0,0.15455,0.003405,0.000517
660.0,0.11672,0.0026,0.000558
670.0,0.0845845,0.003035,0.000508
680.0,0.054802,0.003271,0.00031
690.0,0.03031,0.002927,0.000194
700.0,0.021383,0.00288,0.000157
