wavelength,red,green,blue
400.0,0.00034592,0.00038792,0.00066009
410.0,0.010199,0.034473,0.37447
420.0,0.005184,0.034483,0.43369
430.0,0.0049607,0.047572,0.59431
440.0,0.0029724,0.056008,0.59036
450.0,0.0025227,0.081198,0.6711
460.0,0.0030831,0.13554,0.71871
470.0,0.0070559,0.25174,0.78297
480.0,0.0097957,0.3468,0.72719
490.0,0.010551,0.40955,0.63405
500.0,0.016989,0.54996,0.50882
510.0,0.030186,0.73427,0.33797
520.0,0.062365,0.93904,0.21616
530.0,0.069585,0.99445,0.12859
540.0,0.040168,0.90907,0.088313
550.0,0.030826,0.8822,0.06365
560.0,0.037897,0.74852,0.037555
570.0,0.13547,0.6765,0.030433
580.0,0.5673,0.50713,0.025461
590.0,0.92248,0.34455,0.0211
600.0,0.95313,0.19699,0.014922
610.0,1.0,0.13279,0.013021
620.0,0.95402,0.13731,0.050514
630.0,0.95351,0.13574,0.0574
640.0,0.87276,0.086111,0.024004
650.0,0.46524,0.048309,0.01847
660.0,0.10583,0.013992,0.0059679
670.0,0.026156,0.0048695,0.0018727
680.0,0.0062958,0.0015321,0.00046966
690.0,0.0025279,0.00080409,0.00029377
700.0,0.001483,0.00058834,0.00024342
