wavelength,red,green,blue
400.0,0.0,0.0,0.0
410.0,0.0,0.0,0.02
420.0,0.01,0.05,0.18
430.0,0.03,0.14,0.54
440.0,0.04,0.28,0.95
450.0,0.03,0.34,1.03
460.0,0.03,0.41,1.01
470.0,0.03,0.55,0.98
480.0,0.03,0.62,0.87
490.0,0.03,0.65,0.79
500.0,0.04,0.83,0.59
510.0,0.05,1.01,0.46
520.0,0.08,1.1,0.31
530.0,0.09,1.13,0.21
540.0,0.06,1.05,0.15
550.0,0.04,1.0,0.1
560.0,0.04,0.88,0.06
570.0,0.04,0.73,0.04
580.0,0.23,0.58,0.03
590.0,0.65,0.44,0.03
600.0,0.74,0.28,0.02
610.0,0.7,0.2,0.02
620.0,0.63,0.14,0.02
630.0,0.56,0.1,0.02
640.0,0.51,0.08,0.02
650.0,0.42,0.06,0.03
660.0,0.3,0.05,0.02
670.0,0.15,0.03,0.02
680.0,0.06,0.02,0.01
690.0,0.01,0.0,0.0
700.0,0.0,0.0,0.0
