wavelength,red,green,blue
400.0,0.018564,0.022091,0.018809
410.0,0.018564,0.022091,0.036251
420.0,0.021938,0.064275,0.20537
430.0,0.057016,0.19812,0.65667
440.0,0.04624,0.2473,0.75876
450.0,0.042519,0.29648,0.80442
460.0,0.045852,0.36684,0.81128
470.0,0.049185,0.48304,0.80051
480.0,0.059563,0.57809,0.7615
490.0,0.062896,0.63433,0.69076
500.0,0.069757,0.76112,0.56006
510.0,0.083672,0.86674,0.42582
520.0,0.11522,0.96531,0.31981
530.0,0.12208,0.99333,0.24554
540.0,0.097188,0.93317,0.18891
550.0,0.079358,0.89417,0.13932
560.0,0.079164,0.83401,0.10385
570.0,0.11072,0.73858,0.078969
580.0,0.41387,0.65725,0.071721
590.0,0.77346,0.55124,0.064462
600.0,0.77326,0.42759,0.050159
610.0,0.72369,0.29335,0.04291
620.0,0.62473,0.19792,0.042716
630.0,0.57867,0.14834,0.046049
640.0,0.47971,0.12346,0.045855
650.0,0.42308,0.095033,0.04565
660.0,0.36645,0.077202,0.045456
670.0,0.30981,0.073481,0.041735
680.0,0.11914,0.048595,0.031051
690.0,0.059075,0.020275,0.031051
700.0,0.059075,0.020275,0.031051
