wavelength,red,green,blue
400.0,0.0024923,0.002931,0.013803
410.0,0.019414,0.016955,0.16995
420.0,0.040583,0.035993,0.53654
430.0,0.035356,0.034338,0.64831
440.0,0.02622,0.04332,0.63645
450.0,0.021607,0.043915,0.68501
460.0,0.021548,0.060121,0.6835
470.0,0.031331,0.21311,0.6909
480.0,0.049979,0.58884,0.65012
490.0,0.05987,0.80776,0.54691
500.0,0.074838,0.93188,0.44026
510.0,0.090588,0.93449,0.30707
520.0,0.1305,1.0,0.23016
530.0,0.13824,0.98631,0.1785
540.0,0.10283,0.90467,0.1389
550.0,0.093277,0.86827,0.11161
560.0,0.097758,0.78979,0.091379
570.0,0.14306,0.72873,0.084556
580.0,0.55529,0.61537,0.080833
590.0,0.87208,0.57656,0.082967
600.0,0.90595,0.43959,0.071655
610.0,0.90701,0.31821,0.061439
620.0,0.78333,0.21731,0.04956
630.0,0.79802,0.19666,0.053584
640.0,0.7359,0.16993,0.057052
650.0,0.73356,0.16209,0.068018
660.0,0.35899,0.081103,0.038626
670.0,0.078863,0.021748,0.010469
680.0,0.016321,0.0058041,0.0026049
690.0,0.0033198,0.0014868,0.00062774
700.0,0.0020004,0.0010705,0.00043022
