wavelength,red,green,blue
400.0,0.0189,0.0265,0.0393
410.0,0.0234,0.0254,0.165
420.0,0.0278,0.029,0.314
430.0,0.0253,0.0291,0.435
440.0,0.0222,0.0373,0.511
450.0,0.0177,0.0415,0.583
460.0,0.0163,0.0514,0.62
470.0,0.0188,0.158,0.652
480.0,0.024,0.454,0.65
490.0,0.0264,0.681,0.607
500.0,0.0307,0.847,0.52
510.0,0.0397,0.938,0.406
520.0,0.0602,0.983,0.285
530.0,0.0738,0.993,0.204
540.0,0.0609,1.0,0.165
550.0,0.0487,0.967,0.12
560.0,0.0493,0.903,0.0859
570.0,0.0661,0.814,0.065
580.0,0.335,0.732,0.0587
590.0,0.78,0.587,0.0517
600.0,0.83,0.433,0.0439
610.0,0.768,0.282,0.0361
620.0,0.687,0.188,0.0319
630.0,0.606,0.135,0.0314
640.0,0.488,0.0972,0.0321
650.0,0.378,0.072,0.0322
660.0,0.287,0.0581,0.0316
670.0,0.201,0.0504,0.0282
680.0,0.114,0.0388,0.0198
690.0,0.0396,0.0203,0.00896
700.0,0.0133,0.0106,0.00434
