wavelength,red,green,blue
400.0,0.0111,0.0115,0.0407
410.0,0.0224,0.0167,0.17
420.0,0.0256,0.0249,0.297
430.0,0.0232,0.0267,0.404
440.0,0.0216,0.0359,0.525
450.0,0.0185,0.0627,0.593
460.0,0.0166,0.0637,0.631
470.0,0.0194,0.0726,0.663
480.0,0.0242,0.198,0.64
490.0,0.0287,0.542,0.566
500.0,0.0352,0.843,0.461
510.0,0.0456,0.954,0.329
520.0,0.0673,0.998,0.218
530.0,0.0826,1.0,0.15
540.0,0.0633,0.963,0.113
550.0,0.0479,0.924,0.083
560.0,0.0478,0.865,0.0583
570.0,0.0652,0.765,0.0459
580.0,0.309,0.663,0.0424
590.0,0.72,0.525,0.04
600.0,0.766,0.367,0.0337
610.0,0.695,0.222,0.0268
620.0,0.602,0.121,0.0219
630.0,0.509,0.0719,0.0202
640.0,0.416,0.0494,0.0202
650.0,0.312,0.0354,0.0197
660.0,0.222,0.026,0.0181
670.0,0.145,0.0197,0.0146
680.0,0.0708,0.0136,0.00857
690.0,0.022,0.00807,0.0036
700.0,0.0064,0.00576,0.00222
