wavelength,red,green,blue
400.0,0.0073643,0.0087465,0.033016
410.0,0.055237,0.075143,0.35254
420.0,0.051835,0.10312,0.49797
430.0,0.043321,0.12927,0.60149
440.0,0.033681,0.14942,0.65736
450.0,0.028963,0.19179,0.78336
460.0,0.025,0.24858,0.73926
470.0,0.031318,0.37672,0.776
480.0,0.034458,0.45492,0.72276
490.0,0.033059,0.50906,0.61365
500.0,0.036819,0.67036,0.4557
510.0,0.04791,0.85874,0.30535
520.0,0.075209,0.93855,0.17946
530.0,0.083833,1.0,0.12249
540.0,0.040534,0.87676,0.073361
550.0,0.025882,0.85895,0.04487
560.0,0.029435,0.66097,0.020265
570.0,0.096315,0.54573,0.012304
580.0,0.40981,0.3987,0.0085751
590.0,0.59492,0.29141,0.0064746
600.0,0.48306,0.14386,0.0032885
610.0,0.4419,0.086686,0.002511
620.0,0.32839,0.046569,0.0020362
630.0,0.26576,0.032661,0.0023356
640.0,0.18549,0.021849,0.0027482
650.0,0.14261,0.016681,0.0036074
660.0,0.10679,0.013952,0.0036988
670.0,0.073901,0.012859,0.0031634
680.0,0.045969,0.011204,0.0022407
690.0,0.011987,0.0038035,0.00069044
700.0,0.0019017,0.00078707,0.00012112
