wavelength,red,green,blue
400.0,0.013065,0.028532,0.021706
410.0,0.041179,0.082619,0.30363
420.0,0.069313,0.12241,0.55737
430.0,0.061777,0.15511,0.68629
440.0,0.054261,0.18778,0.79739
450.0,0.046725,0.22401,0.88713
460.0,0.042775,0.28166,0.92693
470.0,0.038804,0.37493,0.92041
480.0,0.049113,0.47537,0.84968
490.0,0.052272,0.52586,0.72907
500.0,0.048321,0.6156,0.55142
510.0,0.062175,0.77661,0.40939
520.0,0.086744,0.91267,0.26739
530.0,0.10773,0.98814,0.18244
540.0,0.093083,0.98872,0.13667
550.0,0.057027,0.92872,0.094497
560.0,0.031686,0.81878,0.066554
570.0,0.017021,0.68391,0.045772
580.0,0.19488,0.52765,0.032089
590.0,0.46544,0.38206,0.025568
600.0,0.56128,0.25075,0.022581
610.0,0.48247,0.14441,0.019625
620.0,0.37868,0.091508,0.020204
630.0,0.29984,0.052899,0.020813
640.0,0.22816,0.032087,0.032087
650.0,0.15645,0.032696,0.029131
660.0,0.11329,0.029709,0.029709
670.0,0.080797,0.030318,0.030318
680.0,0.048326,0.030927,0.030927
690.0,0.030095,0.024375,0.02794
700.0,0.022763,0.024984,0.024984
