wavelength,red,green,blue
400.0,0.0168,0.0246,0.025
410.0,0.0107,0.0149,0.0383
420.0,0.0137,0.0158,0.121
430.0,0.0193,0.0214,0.296
440.0,0.0211,0.0324,0.447
450.0,0.0183,0.0377,0.55
460.0,0.0172,0.0472,0.599
470.0,0.0202,0.148,0.615
480.0,0.0262,0.433,0.597
490.0,0.0302,0.686,0.57
500.0,0.035,0.846,0.468
510.0,0.0446,0.932,0.355
520.0,0.0663,0.97,0.239
530.0,0.0817,1.0,0.168
540.0,0.0651,0.997,0.131
550.0,0.05,0.952,0.0925
560.0,0.0493,0.883,0.0651
570.0,0.0646,0.79,0.0488
580.0,0.316,0.681,0.0434
590.0,0.738,0.535,0.0399
600.0,0.769,0.38,0.0342
610.0,0.685,0.236,0.0279
620.0,0.587,0.151,0.0241
630.0,0.48,0.102,0.0224
640.0,0.371,0.0714,0.0221
650.0,0.286,0.0526,0.0217
660.0,0.211,0.0413,0.0206
670.0,0.128,0.0317,0.0161
680.0,0.0584,0.0213,0.00949
690.0,0.0213,0.0126,0.00509
700.0,0.0101,0.00904,0.0038
