wavelength,red,green,blue
400.0,0.0221,0.0353,0.0318
410.0,0.0206,0.026,0.101
420.0,0.0282,0.0296,0.271
430.0,0.0293,0.031,0.44
440.0,0.0266,0.0399,0.526
450.0,0.0214,0.0435,0.599
460.0,0.0195,0.0504,0.635
470.0,0.0221,0.157,0.66
480.0,0.0272,0.465,0.637
490.0,0.0288,0.693,0.576
500.0,0.0326,0.848,0.476
510.0,0.0416,0.948,0.363
520.0,0.0627,0.974,0.237
530.0,0.0792,1.0,0.167
540.0,0.0612,0.997,0.131
550.0,0.0459,0.956,0.0918
560.0,0.0459,0.893,0.0632
570.0,0.0602,0.808,0.0473
580.0,0.322,0.712,0.0419
590.0,0.756,0.555,0.036
600.0,0.774,0.399,0.03
610.0,0.687,0.253,0.024
620.0,0.592,0.166,0.0208
630.0,0.484,0.114,0.0194
640.0,0.374,0.0805,0.0195
650.0,0.293,0.0603,0.0198
660.0,0.216,0.0474,0.0188
670.0,0.134,0.0373,0.0151
680.0,0.064,0.0264,0.00989
690.0,0.0237,0.0163,0.00571
700.0,0.0126,0.0127,0.00442
